id,name,entries,date,time,record_identifier,status,lat,lon,vmax,pres,34ne,34se,34sw,34nw,50ne,50se,50sw,50nw,64ne,64se,64sw,64nw,rmax
AL011851,UNNAMED,14,18510625,0,,HU,28.0,-94.8,80,,,,,,,,,,,,,,
AL011851,UNNAMED,14,18510625,600,,HU,28.0,-95.4,80,,,,,,,,,,,,,,
AL011851,UNNAMED,14,18510625,1200,,HU,28.0,-96.0,80,,,,,,,,,,,,,,
AL011851,UNNAMED,14,18510625,1800,,HU,28.1,-96.5,80,,,,,,,,,,,,,,
AL011851,UNNAMED,14,18510625,2100,L,HU,28.2,-96.8,80,,,,,,,,,,,,,,
AL011851,UNNAMED,14,18510626,0,,HU,28.2,-97.0,70,,,,,,,,,,,,,,
AL011851,UNNAMED,14,18510626,600,,TS,28.3,-97.6,60,,,,,,,,,,,,,,
AL011851,UNNAMED,14,18510626,1200,,TS,28.4,-98.3,60,,,,,,,,,,,,,,
AL011851,UNNAMED,14,18510626,1800,,TS,28.6,-98.9,50,,,,,,,,,,,,,,
AL011851,UNNAMED,14,18510627,0,,TS,29.0,-99.4,50,,,,,,,,,,,,,,
AL011851,UNNAMED,14,18510627,600,,TS,29.5,-99.8,40,,,,,,,,,,,,,,
AL011851,UNNAMED,14,18510627,1200,,TS,30.0,-100.0,40,,,,,,,,,,,,,,
AL011851,UNNAMED,14,18510627,1800,,TS,30.5,-100.1,40,,,,,,,,,,,,,,
AL011851,UNNAMED,14,18510628,0,,TS,31.0,-100.2,40,,,,,,,,,,,,,,
AL021851,UNNAMED,1,18510705,1200,,HU,22.2,-97.6,80,,,,,,,,,,,,,,
AL031851,UNNAMED,1,18510710,1200,,TS,12.0,-60.0,50,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510816,0,,TS,13.4,-48.0,40,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510816,600,,TS,13.7,-49.5,40,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510816,1200,,TS,14.0,-51.0,50,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510816,1800,,TS,14.4,-52.8,50,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510817,0,,TS,14.9,-54.6,60,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510817,600,,TS,15.4,-56.5,60,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510817,1200,,HU,15.9,-58.5,70,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510817,1800,,HU,16.1,-60.4,70,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510818,0,,HU,16.6,-62.5,80,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510818,600,,HU,16.9,-64.1,80,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510818,1200,,HU,17.2,-66.0,90,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510818,1800,,HU,17.6,-67.6,90,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510819,0,,HU,18.0,-69.3,90,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510819,600,,HU,18.4,-71.1,70,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510819,1200,,TS,18.9,-72.6,60,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510819,1800,,TS,19.4,-74.3,60,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510820,0,,HU,19.9,-75.9,70,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510820,600,,HU,20.5,-77.6,70,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510820,1200,,HU,21.2,-79.0,70,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510820,1800,,HU,21.9,-80.4,70,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510821,0,,TS,22.6,-81.4,60,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510821,600,,TS,23.2,-82.5,60,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510821,1200,,HU,23.9,-83.6,70,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510821,1800,,HU,24.4,-84.3,70,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510822,0,,HU,25.0,-84.9,80,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510822,600,,HU,25.6,-85.5,80,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510822,1200,,HU,26.2,-86.0,90,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510822,1800,,HU,26.8,-86.3,90,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510823,0,,HU,27.4,-86.5,100,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510823,600,,HU,28.0,-86.6,100,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510823,1200,,HU,28.5,-86.6,100,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510823,1800,,HU,29.6,-86.1,100,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510823,2100,L,HU,30.1,-85.7,100,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510824,0,,HU,30.7,-85.1,90,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510824,600,,HU,31.6,-84.1,70,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510824,1200,,TS,32.5,-83.0,60,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510824,1800,,TS,33.4,-81.4,50,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510825,0,,TS,34.0,-80.0,40,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510825,600,,TS,34.8,-78.6,40,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510825,1200,,TS,35.8,-77.0,40,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510825,1800,,TS,36.8,-75.1,40,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510826,0,,TS,37.8,-73.6,40,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510826,600,,TS,38.9,-71.8,40,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510826,1200,,TS,40.0,-70.0,40,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510826,1800,,TS,41.3,-66.8,40,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510827,0,,TS,42.8,-63.3,40,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510827,600,,TS,44.5,-60.2,40,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510827,1200,,TS,46.4,-57.2,40,,,,,,,,,,,,,,
AL041851,UNNAMED,49,18510827,1800,,TS,48.5,-54.2,40,,,,,,,,,,,,,,
AL051851,UNNAMED,16,18510913,0,,TS,32.5,-73.5,50,,,,,,,,,,,,,,
AL051851,UNNAMED,16,18510913,600,,TS,32.5,-73.5,50,,,,,,,,,,,,,,
AL051851,UNNAMED,16,18510913,1200,,TS,32.5,-73.5,50,,,,,,,,,,,,,,
AL051851,UNNAMED,16,18510913,1800,,TS,32.5,-73.5,50,,,,,,,,,,,,,,
AL051851,UNNAMED,16,18510914,0,,TS,32.5,-73.5,50,,,,,,,,,,,,,,
AL051851,UNNAMED,16,18510914,600,,TS,32.5,-73.5,50,,,,,,,,,,,,,,
AL051851,UNNAMED,16,18510914,1200,,TS,32.5,-73.5,50,,,,,,,,,,,,,,
AL051851,UNNAMED,16,18510914,1800,,TS,32.5,-73.5,50,,,,,,,,,,,,,,
AL051851,UNNAMED,16,18510915,0,,TS,32.5,-73.5,50,,,,,,,,,,,,,,
AL051851,UNNAMED,16,18510915,600,,TS,32.5,-73.5,50,,,,,,,,,,,,,,
AL051851,UNNAMED,16,18510915,1200,,TS,32.5,-73.5,50,,,,,,,,,,,,,,
AL051851,UNNAMED,16,18510915,1800,,TS,32.5,-73.5,50,,,,,,,,,,,,,,
AL051851,UNNAMED,16,18510916,0,,TS,32.5,-73.5,50,,,,,,,,,,,,,,
AL051851,UNNAMED,16,18510916,600,,TS,32.5,-73.5,50,,,,,,,,,,,,,,
AL051851,UNNAMED,16,18510916,1200,,TS,32.5,-73.5,50,,,,,,,,,,,,,,
AL051851,UNNAMED,16,18510916,1800,,TS,32.5,-73.5,50,,,,,,,,,,,,,,
AL061851,UNNAMED,17,18511016,0,,TS,28.7,-78.0,40,,,,,,,,,,,,,,
AL061851,UNNAMED,17,18511016,600,,TS,29.1,-77.8,40,,,,,,,,,,,,,,
AL061851,UNNAMED,17,18511016,1200,,TS,29.5,-77.5,50,,,,,,,,,,,,,,
AL061851,UNNAMED,17,18511016,1800,,TS,30.1,-77.1,50,,,,,,,,,,,,,,
AL061851,UNNAMED,17,18511017,0,,TS,30.7,-76.6,60,,,,,,,,,,,,,,
AL061851,UNNAMED,17,18511017,600,,TS,31.2,-76.3,60,,,,,,,,,,,,,,
AL061851,UNNAMED,17,18511017,1200,,TS,31.6,-75.9,60,,,,,,,,,,,,,,
AL061851,UNNAMED,17,18511017,1800,,TS,32.0,-75.5,60,,,,,,,,,,,,,,
AL061851,UNNAMED,17,18511018,0,,TS,32.7,-74.9,60,,,,,,,,,,,,,,
AL061851,UNNAMED,17,18511018,600,,TS,33.3,-74.3,60,,,,,,,,,,,,,,
AL061851,UNNAMED,17,18511018,1200,,TS,34.0,-73.8,60,,,,,,,,,,,,,,
AL061851,UNNAMED,17,18511018,1800,,TS,35.3,-73.0,60,,,,,,,,,,,,,,
AL061851,UNNAMED,17,18511019,0,,TS,37.0,-72.6,50,,,,,,,,,,,,,,
AL061851,UNNAMED,17,18511019,600,,TS,38.5,-72.1,50,,,,,,,,,,,,,,
AL061851,UNNAMED,17,18511019,1200,,TS,40.2,-71.8,50,,,,,,,,,,,,,,
AL061851,UNNAMED,17,18511019,1500,L,TS,41.1,-71.7,50,,,,,,,,,,,,,,
AL061851,UNNAMED,17,18511019,1800,,TS,42.0,-71.6,40,,,,,,,,,,,,,,
AL011852,UNNAMED,45,18520819,0,,TS,20.5,-67.1,60,,,,,,,,,,,,,,
AL011852,UNNAMED,45,18520819,600,,TS,20.7,-68.0,60,,,,,,,,,,,,,,
AL011852,UNNAMED,45,18520819,1200,,TS,20.9,-68.8,60,,,,,,,,,,,,,,
AL011852,UNNAMED,45,18520819,1800,,TS,21.1,-69.6,60,,,,,,,,,,,,,,
AL011852,UNNAMED,45,18520820,0,,HU,21.2,-70.6,70,,,,,,,,,,,,,,
AL011852,UNNAMED,45,18520820,600,,HU,21.5,-71.9,70,,,,,,,,,,,,,,
AL011852,UNNAMED,45,18520820,1200,,HU,21.7,-73.0,70,,,,,,,,,,,,,,
AL011852,UNNAMED,45,18520820,1800,,HU,21.9,-74.0,70,,,,,,,,,,,,,,
AL011852,UNNAMED,45,18520821,0,,HU,22.1,-74.9,80,,,,,,,,,,,,,,
AL011852,UNNAMED,45,18520821,600,,HU,22.2,-76.1,80,,,,,,,,,,,,,,
AL011852,UNNAMED,45,18520821,1200,,HU,22.6,-77.1,80,,,,,,,,,,,,,,
AL011852,UNNAMED,45,18520821,1800,,HU,22.9,-78.1,80,,,,,,,,,,,,,,
AL011852,UNNAMED,45,18520822,0,,HU,23.2,-79.3,90,,,,,,,,,,,,,,
AL011852,UNNAMED,45,18520822,600,,HU,23.5,-80.1,90,,,,,,,,,,,,,,
AL011852,UNNAMED,45,18520822,1200,,HU,23.8,-81.1,90,,,,,,,,,,,,,,
AL011852,UNNAMED,45,18520822,1800,,HU,24.2,-82.1,90,,,,,,,,,,,,,,
AL011852,UNNAMED,45,18520823,0,,HU,24.7,-83.1,90,,,,,,,,,,,,,,
AL011852,UNNAMED,45,18520823,600,,HU,25.2,-83.9,90,,,,,,,,,,,,,,
AL011852,UNNAMED,45,18520823,1200,,HU,25.7,-84.6,90,,,,,,,,,,,,,,
AL011852,UNNAMED,45,18520823,1800,,HU,26.2,-85.3,90,,,,,,,,,,,,,,
AL011852,UNNAMED,45,18520824,0,,HU,26.7,-86.0,100,,,,,,,,,,,,,,
AL011852,UNNAMED,45,18520824,600,,HU,27.2,-86.6,100,,,,,,,,,,,,,,
AL011852,UNNAMED,45,18520824,1200,,HU,27.7,-87.1,100,,,,,,,,,,,,,,
AL011852,UNNAMED,45,18520824,1800,,HU,28.2,-87.5,100,,,,,,,,,,,,,,
AL011852,UNNAMED,45,18520825,0,,HU,28.6,-87.8,100,,,,,,,,,,,,,,
AL011852,UNNAMED,45,18520825,600,,HU,28.8,-88.0,100,,,,,,,,,,,,,,
AL011852,UNNAMED,45,18520825,1200,,HU,29.1,-88.2,100,,,,,,,,,,,,,,
AL011852,UNNAMED,45,18520825,1800,,HU,29.4,-88.4,100,,,,,,,,,,,,,,
AL011852,UNNAMED,45,18520826,0,,HU,29.8,-88.6,100,,,,,,,,,,,,,,
AL011852,UNNAMED,45,18520826,600,L,HU,30.2,-88.6,100,961.0,,,,,,,,,,,,,10.0
AL011852,UNNAMED,45,18520826,1200,,HU,30.6,-88.5,90,,,,,,,,,,,,,,
AL011852,UNNAMED,45,18520826,1800,,HU,31.2,-88.1,70,,,,,,,,,,,,,,
AL011852,UNNAMED,45,18520827,0,,TS,31.8,-87.4,50,,,,,,,,,,,,,,
AL011852,UNNAMED,45,18520827,600,,TS,32.3,-86.3,40,,,,,,,,,,,,,,
AL011852,UNNAMED,45,18520827,1200,,TS,32.8,-84.8,40,,,,,,,,,,,,,,
