id,name,entries,date,time,record_identifier,status,lat,lon,vmax,pres,34ne,34se,34sw,34nw,50ne,50se,50sw,50nw,64ne,64se,64sw,64nw,rmax
AL032014,BERTHA,47,20140803,1800,,TS,22.7,-72.5,45,1012,140,100,0,50,0,0,0,0,0,0,0,0,
AL032014,BERTHA,47,20140804,0,,TS,24.1,-73.1,55,1007,140,100,0,40,40,40,0,0,0,0,0,0,
AL032014,BERTHA,47,20140804,600,,TS,25.4,-73.5,60,1004,140,100,0,40,40,40,0,0,0,0,0,0,
AL032014,BERTHA,47,20140804,1200,,HU,26.8,-73.6,70,998,140,100,30,40,40,40,0,0,20,20,0,0,
AL032014,BERTHA,47,20140804,1800,,HU,28.5,-73.6,70,999,120,100,30,40,40,40,0,0,20,20,0,0,
AL032014,BERTHA,47,20140805,0,,HU,30.5,-73.4,65,1001,110,100,30,30,40,40,0,0,20,20,0,0,
AL032014,BERTHA,47,20140805,600,,TS,32.5,-73.2,55,1003,110,100,30,30,40,40,0,0,0,0,0,0,
AL032014,BERTHA,47,20140805,1200,,TS,34.2,-72.7,50,1005,120,100,0,0,30,0,0,0,0,0,0,0,
AL032014,BERTHA,47,20140805,1800,,TS,35.5,-71.2,45,1006,120,120,0,0,0,0,0,0,0,0,0,0,
AL032014,BERTHA,47,20140806,0,,TS,36.8,-69.3,45,1007,120,120,0,0,0,0,0,0,0,0,0,0,
AL032014,BERTHA,47,20140806,600,,TS,38.1,-66.9,45,1007,100,120,0,0,0,0,0,0,0,0,0,0,
AL042014,CRISTOBAL,39,20140823,1800,,TD,21.5,-72.2,30,1005,0,0,0,0,0,0,0,0,0,0,0,0,
AL042014,CRISTOBAL,39,20140824,0,,TD,22.0,-72.5,30,1004,0,0,0,0,0,0,0,0,0,0,0,0,
AL042014,CRISTOBAL,39,20140824,600,,TS,22.6,-72.9,35,1002,60,60,0,0,0,0,0,0,0,0,0,0,
AL042014,CRISTOBAL,39,20140824,1200,,TS,23.3,-73.0,40,1001,60,70,0,0,0,0,0,0,0,0,0,0,
AL042014,CRISTOBAL,39,20140824,1800,,TS,24.0,-73.0,45,1001,60,70,0,0,0,0,0,0,0,0,0,0,
AL042014,CRISTOBAL,39,20140825,0,,TS,24.2,-73.0,45,998,60,80,0,0,0,0,0,0,0,0,0,0,
